,Company,ESP,Estimate_eps,Estimate_sales,Reported_eps,Reported_sales,cap,symbol,timing,before,after,close,spy_before,spy_after,cons,beta,r2,dev,macd_before,macd_after
2020-07-27,Martin Midstrea...,,-0.13,,-0.06,140.64,95.0,MMLP,amc,2.4,2.3,,322.96,320.95,0.006692425994972478,1.2534226880674755,0.11340315478453655,-0.009606253367120416,0.08572212348207023,0.09520093816514882
2020-07-27,Cemex S.a.b. De...,,,,0.01,2911.55,4162.0,CX,bmo,2.83,2.95,3.17,322.96,320.95,0.00198872149848714,1.4345078116014882,0.47840342149449877,-1.0353614510028775,0.001238378334701612,-0.006859050761639653
2020-07-27,National Oilwel...,,-0.11,1535.88,-0.07,1496.0,4946.0,NOV,amc,12.99,12.52,,322.96,320.95,0.0038419484254595547,1.8072765695437027,0.49753157542374193,0.8403586919512479,0.1876239620671247,0.20790269945164455
2020-07-27,Cincinnati Fina...,,0.41,1640.6,0.44,1654.0,13384.0,CINF,amc,82.45,83.0,,322.96,320.95,0.0016074353687176705,1.2659855681529555,0.5985291649619627,-0.4979044049756997,0.9368279276277924,1.0797116652015726
2020-07-27,Crane Company,,0.47,611.9,0.64,677.9,3512.0,CR,amc,61.41,61.41,,322.96,320.95,0.0020371345105509343,1.4362786350880372,0.7198884451878145,-0.39712380844971773,0.30021093478773464,0.3248082129308377
2020-07-27,Eqt Corporation...,,-0.15,802.77,-0.18,816.24,3621.0,EQT,bmo,14.17,13.26,13.41,322.96,320.95,0.0012851241427517903,0.7321055153399882,0.08616556080464599,-0.14898248924308752,0.15051933849421473,0.19319889578213195
2020-07-27,Vocera Communic...,,-0.07,40.04,0.1,47.35,743.0,VCRA,amc,23.43,29.55,,322.96,320.95,0.0010290259580735225,0.4372175753898801,0.07319858558252679,1.7064352121419837,0.4776622664572242,0.12192943369106835
2020-07-27,Principal Finan...,,1.31,3831.6,1.46,3181.1,12261.0,PFG,amc,44.71,46.09,,322.96,320.95,0.0019784376859896084,1.5856591637789141,0.7104334351976581,-0.34290238806225104,0.198357953159774,0.16130373281599464
2020-07-27,Heidrick  Strug...,,0.13,122.55,0.37,145.6,403.0,HSII,amc,20.31,21.0,,322.96,320.95,0.0019371927707299598,0.7538809167369596,0.25632123310626675,1.1302665920844113,0.05599752087331772,0.053498687911202825
2020-07-27,Medpace Holding...,,0.42,180.62,0.68,205.0,3743.0,MEDP,amc,112.32,132.91,,322.96,320.95,-0.0004742351200648894,1.2618785459205406,0.5651086865117572,0.7040302434716156,2.0776790864432693,0.7837254960817477
2020-07-27,Rpm Internation...,,1.01,1446.3,1.13,1458.96,10341.0,RPM,bmo,79.69,79.99,80.92,322.96,320.95,-0.00021175323690753674,1.0458824178003696,0.6005350185978406,0.49684410123334194,0.31332265172005447,0.268572895901937
2020-07-27,Cathay General...,,0.55,144.33,0.68,150.08,2022.0,CATY,amc,24.89,26.07,,322.96,320.95,0.0023071122307733115,1.480131618466431,0.6844138487617444,-0.12625592605542593,0.1812400969241278,0.1287409792004861
2020-07-27,Albertsons Comp...,,1.33,22834.7,1.35,22751.6,7717.0,ACI,bmo,16.11,16.04,15.24,322.96,320.95,0.013188456170818087,2.354548237017871,0.17034036200797975,-0.2971501517489324,-0.3378510005774915,-0.30454933886496427
2020-07-27,"Qcr Holdings, I...",,0.64,54.81,0.88,69.57,458.0,QCRH,amc,28.5,29.95,,322.96,320.95,0.0019915500707545154,1.451175243672309,0.6038976289532789,-0.1863759671953457,0.18342857457474054,0.10270217265811399
2020-07-27,Franklin Financ...,,,,0.7,40.08,401.0,FSB,bmo,26.89,26.67,25.73,322.96,320.95,0.001310529199429751,1.4321371022361773,0.42577293598017674,0.6290808749352891,0.25425077263269535,0.2538376658013376
2020-07-27,"Donegal Group,...",,0.26,195.7,0.61,192.41,397.0,DGICA,amc,13.79,14.2,,322.96,320.95,0.0007267943329395437,0.870328499435657,0.4677065896891046,-0.16978764430728954,0.0568878284337986,0.030062786141275916
2020-07-27,Waterstone Fina...,,0.36,59.1,0.85,80.15,365.0,WSBF,amc,13.79,14.0,,322.96,320.95,0.0010556769658850759,0.668001562810914,0.3754612627965995,-0.5123635839715821,0.030665038807051598,0.029684254101421337
2020-07-27,"Hbt Financial,...",,0.26,37.0,0.3,36.97,336.0,HBT,bmo,12.23,12.39,12.34,322.96,320.95,0.0022500820411693497,1.148676418115014,0.3920737855838534,-0.5229743788222625,0.03546780073189609,0.026025195421451403
2020-07-27,Rbb Bancorp,,0.28,27.4,0.33,27.24,261.0,RBB,amc,12.86,12.92,,322.96,320.95,0.0023554294361746828,1.2455311286299167,0.5811728891352475,-0.6602921625286988,-0.017698775514961275,-0.008162455832860144
2020-07-27,Silvergate Capi...,,0.16,20.2,0.29,21.49,259.0,SI,bmo,13.9,14.23,14.15,322.96,320.95,0.0010754300464223651,1.5614914450087496,0.3899447613930732,-0.46665580912369803,0.11676242128583667,0.09740846633819925
2020-07-27,Hooker Furnitur...,,,,-0.09,104.6,248.0,HOFT,bmo,20.92,20.96,20.97,322.96,320.95,0.0006313754038694909,1.0085953566750339,0.35792826196523087,-0.034917505214839585,-0.06596813536506674,-0.016578977958276786
2020-07-27,Hometrust Bancs...,,0.21,32.1,0.22,31.91,246.0,HTBI,amc,14.16,14.25,,322.96,320.95,0.0031959724854847323,1.1481946968103771,0.3591189468287749,-0.6160285340410908,0.01186541511579925,0.005600642211127493
2020-07-27,Southern Nation...,,0.35,25.2,0.19,30.87,214.0,SONA,amc,8.47,8.56,,322.96,320.95,0.0033634173659760807,1.449493828442568,0.47653867425495655,-0.5780712008363804,0.00392462936544144,0.012878926669245006
2020-07-27,Southern Missou...,,0.52,23.69,0.76,26.85,200.0,SMBC,amc,21.25,21.56,,322.96,320.95,0.0028859904388809526,1.2133742322837864,0.3756087797032406,-0.16998728473788582,-0.004794042352049832,-0.012623895882620695
2020-07-27,Hitachi Constr,,0.39,1601.85,0.02,1582.12,6389.0,HTCMY,bmo,59.4,62.19,61.13,322.96,320.95,-0.00015066139626268777,0.5511725009832111,0.12843836978563739,-0.338446642951223,0.2720247426272313,0.17057024082167027
2020-07-27,"Bcb Bancorp, In...",,0.07,19.9,0.14,19.1,153.0,BCBP,amc,8.56,8.6,,322.96,320.95,0.00208641728448766,1.122140627528066,0.5410422501320375,-1.060198278755605,0.014372844633747023,0.027135737438274438
2020-07-27,Northrim Bancor...,,0.53,27.2,1.52,34.99,146.0,NRIM,amc,22.34,22.7,,322.96,320.95,0.0031328870453987854,1.5126007724024775,0.461192386718719,-0.5798403822732331,0.010954295524601004,0.021515282613026765
2020-07-27,Heartland Bancc...,,0.77,16.6,2.03,14.77,130.0,HLAN,amc,65.25,65.25,,322.96,320.95,0.0012637521379875673,0.39978147683922166,0.14236802417313765,-1.0341530478949876,-0.728945592229993,-0.506935590279187
2020-07-27,"Intevac, Inc.",,-0.17,15.6,0.06,28.84,125.0,IVAC,amc,5.64,5.6,,322.96,320.95,0.0005209954763493916,0.8269854188077277,0.27237361683921624,-0.1662813917341991,0.05687967443952369,0.0534734870604422
2020-07-27,First Bank,,0.15,16.55,0.21,18.21,122.0,FRBA,amc,6.65,6.6,,322.96,320.95,0.003230646019796455,1.3983722893702137,0.48297414014257967,-0.5227941197073845,0.023480881088914274,0.028945844925282974
2020-07-27,Sb Financial Gr...,,0.42,15.2,0.71,17.49,109.0,SBFG,amc,14.05,14.18,,322.96,320.95,0.0012976256358050893,0.6810840596879255,0.16006270136827971,-0.2757059574445457,-0.02524499146396353,-0.04327681829338842
2020-07-27,Cb Financial Se...,,0.14,13.0,0.54,12.97,104.0,CBFV,amc,18.46,18.7,,322.96,320.95,0.0014200429095532633,0.41694467150814857,0.1200022572031233,-0.20816249027310144,0.10446578343631896,0.10368169951673734
2020-07-27,Meridian Bank,,0.19,19.98,0.94,32.28,85.0,MRBK,amc,14.01,14.19,,322.96,320.95,0.0013202515866037275,0.41461165386643434,0.09443459876450944,-0.12209134558774624,0.029162043554250783,0.021712792005791015
2020-07-27,Tessco Technolo...,,-0.59,110.81,-0.54,119.81,52.0,TESS,amc,6.9,7.0,,322.96,320.95,0.005321913050028778,0.7585224412544571,0.07616056308775732,0.1553729624837069,0.1464367967862677,0.1131729944334133
2020-07-27,"Trxade Group, I...",,0.01,1.95,-0.07,6.59,47.0,MEDS,amc,6.28,7.8,,322.96,320.95,-0.0038001503104482534,0.5821943561237674,0.021313873161875052,4.788791863634875,0.14276703194174623,0.04487033378774495
2020-07-27,Zenyatta Ventur...,,,,-0.01,0.0,38.0,ZENYF,amc,0.47,0.47,,322.96,320.95,-0.0010531196875977699,0.32654306294591134,0.011958854842460287,-0.3056857850005777,-0.007300523939024289,-0.007876529847357976
