Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
CABO,Cable One Inc,1704.24,19.73,1.17%,1724.98,1772.81,1686.04,59400,4/9/2020
CACC,Credit Acceptance,317.17,45.15,16.60%,281.99,328.14,278.52,589100,4/9/2020
CACI,Caci International,230.04,4.51,2.00%,230,233.49,225.36,166900,4/9/2020
CAG,Conagra Brands Inc,32.46,1.15,3.67%,31,32.87,31,5146000,4/9/2020
CAH,Cardinal Health,50.43,1.03,2.09%,49.23,50.79,49.23,2012600,4/9/2020
CASY,Casey's General Stor,143.34,2.04,1.44%,143.07,146.66,141.77,302100,4/9/2020
CAT,Caterpillar Inc,125.03,-2.37,-1.86%,128.65,129.6,123.15,4753400,4/9/2020
CB,Chubb Ltd,122.27,7.66,6.68%,116.72,123.39,116.11,2719200,4/9/2020
CBOE,CBOE Global Markets Inc,93.42,-2.28,-2.38%,95.91,96.65,92.74,1498300,4/9/2020
CBRE,CBRE Group Inc,45.61,0.35,0.77%,45.27,46.04,43.66,4439100,4/9/2020
CBSH,Commerce Bancshares,59.37,3.65,6.55%,56.71,59.64,56.02,461200,4/9/2020
CBT,Cabot Corp,30.63,1.4,4.79%,29.89,31.51,29.72,397600,4/9/2020
CC,Chemours Company,10.99,1.47,15.44%,9.94,11.3,9.81,4181100,4/9/2020
CCI,Crown Castle International Corp,164.14,6.78,4.31%,158.26,164.77,157.82,4349900,4/9/2020
CCK,Crown Cork & Seal Company,62.2,2.38,3.98%,60.82,63.83,60.49,1576500,4/9/2020
CCL,Carnival Corp,12.42,0.43,3.59%,12.67,13.73,11.92,145266500,4/9/2020
CDAY,Ceridian Hcm Holding Inc,53.9,4.38,8.84%,50.99,56.22,50.29,2320900,4/9/2020
CDEV,Centennial Resource Development Inc,0.3496,0.0143,4.26%,0.355,0.444,0.3353,24793400,4/9/2020
CDK,Cdk Global Inc,35.98,0.59,1.67%,36.03,36.94,35.12,1004700,4/9/2020
CDNS,Cadence Design Sys,71.65,-0.19,-0.26%,71.91,72.73,71.07,1954300,4/9/2020
CDW,CDW Corp,106.26,3.99,3.90%,104.2,107.81,103.28,1318800,4/9/2020
CE,Celanese Corp,83.91,1.93,2.35%,81.85,86.9,81.15,1096700,4/9/2020
CERN,Cerner Corp,68.38,1.97,2.97%,67.41,68.83,67.07,2314400,4/9/2020
CF,Cf Industries Holdings,31.01,1.17,3.92%,30.69,32.17,30.24,4559400,4/9/2020
CFG,Citizens Financial Group Inc/Ri,22.11,1.58,7.70%,21.62,22.86,21.48,6535900,4/9/2020
CFR,Cullen/Frost Bankers,70.93,4.85,7.34%,67.73,72.25,67.08,824600,4/9/2020
CFX,Colfax Corp,22.92,0.02,0.09%,23.94,25.88,22.75,1908100,4/9/2020
CGNX,Cognex Cp,46.19,0.56,1.23%,46,47.38,45.36,954300,4/9/2020
CHD,Church & Dwight Company,68.39,-0.22,-0.32%,68.35,69.98,68.09,1063500,4/9/2020
CHE,Chemed Inc,470.95,25.02,5.61%,450.06,472.91,448,135000,4/9/2020
CHH,Choice Hotels International,72.4,0.15,0.21%,74.42,76.99,70.87,417400,4/9/2020
CHK,Chesapeake Energy Corp,0.17,-0.001,-0.58%,0.1756,0.21,0.166,204980797,4/9/2020
CHNG,Change Healthcare Inc,10.49,0.01,0.10%,10.54,11.34,10.32,7244800,4/9/2020
CHRW,C.H. Robinson Ww,73.22,0.4,0.55%,72.93,74.32,71.95,1584300,4/9/2020
CHTR,Charter Communicatio,466.64,2.71,0.58%,465.65,476.14,456.19,1634200,4/9/2020
CI,Cigna Corp,181.83,-4.39,-2.36%,186.89,188.65,180.75,2485500,4/9/2020
CIEN,Ciena Corp,45.65,-0.51,-1.10%,46.17,46.95,45.22,2790600,4/9/2020
CIM,Chimera Investment Corp,7.69,0.58,8.16%,7.63,8.09,7.41,15005100,4/9/2020
CINF,Cincinnati Financial,83.58,2.5,3.08%,82.3,84.25,81.6,1231300,4/9/2020
CIT,Cit Group Inc,21.82,2.67,13.94%,21.05,22.63,20.69,3798100,4/9/2020
CL,Colgate-Palmolive Company,69.91,-0.31,-0.44%,70.66,71.47,69.76,3582400,4/9/2020
CLGX,Corelogic,38.64,1.83,4.97%,38.15,39.68,37.75,1610200,4/9/2020
CLH,Clean Harbors,56.58,4.07,7.75%,54.32,57.95,54.17,445600,4/9/2020
CLNY,Colony Capital Inc,2.33,0.6,34.68%,1.9,2.35,1.87,12655000,4/9/2020
CLR,Continental Resources,12.19,-0.18,-1.46%,13.23,14.96,11.05,20298600,4/9/2020
CLX,Clorox Company,184.21,3.17,1.75%,179.23,186.77,178.52,2114500,4/9/2020
CMA,Comerica Inc,34.75,1.73,5.24%,34.32,37.01,33.77,4557300,4/9/2020
CMCSA,Comcast Corp A,38,0.32,0.85%,37.49,38.04,36.8,28618299,4/9/2020
CMD,Cantel Medical,38.3,4.35,12.81%,35.45,38.72,34.64,532100,4/9/2020
CME,CME Group Inc,190.16,9.19,5.08%,181.87,191.04,181.87,3187700,4/9/2020
CMG,Chipotle Mexican Grill,771,45.88,6.33%,745,788.97,732,1026600,4/9/2020
CMI,Cummins Inc,150.7,1.14,0.76%,152.52,154.3,148.83,1133500,4/9/2020
CMS,Cms Energy Corp,62.33,1.69,2.79%,61.06,64.08,60.91,2400700,4/9/2020
CNA,Cna Financial Corp,33.74,1.36,4.20%,32.5,34.22,32.47,287100,4/9/2020
CNC,Centene Corp,66.42,1.27,1.95%,65.13,68.63,64.47,6814300,4/9/2020
CNK,Cinemark Holdings Inc,12.5,1.15,10.13%,11.9,12.99,11.69,9341000,4/9/2020
